"sa2_code","date","hour","count","normalised_count","medianWeek"
250600,2018-01-31,11,4800,4800,3984
250600,2018-01-31,12,4809,4809,4008
250600,2018-01-31,13,4821,4821,3999
250600,2018-01-31,14,4827,4827,4014
250600,2018-01-31,15,4812,4812,4014
250600,2018-01-31,16,4818,4818,4013
250600,2018-01-31,17,4830,4830,3993
250600,2018-01-31,18,4644,4644,3783
250600,2018-01-31,19,4146,3684,3274
250600,2018-01-31,20,3591,3153,2913
250600,2018-01-31,21,3414,2984,2732
250600,2018-01-31,22,3258,2835,2637
250600,2018-01-31,23,3090,2674,2484
250600,2018-02-01,0,3009,2597,2409
250600,2018-02-01,1,2982,2571,2418
250600,2018-02-01,2,3003,2591,2488
250600,2018-02-01,3,3117,2700,2634
250600,2018-02-01,4,3447,3016,2925
250600,2018-02-01,5,3879,3429,3324
250600,2018-02-01,6,4038,3581,3509
250600,2018-02-01,7,4170,3707,3604
250600,2018-02-01,8,4311,3842,3720
250600,2018-02-01,9,4419,3945,3816
250600,2018-02-01,10,4476,4000,3914
250600,2018-02-01,11,4791,4301,3958
250600,2018-02-01,12,4827,4336,3968
250600,2018-02-01,13,4842,4350,3984
250600,2018-02-01,14,4845,4353,4004
250600,2018-02-01,15,4851,4359,4011
250600,2018-02-01,16,4851,4359,4022
250600,2018-02-01,17,4839,4347,3990
250600,2018-02-01,18,4722,4235,3778
250600,2018-02-01,19,4128,3667,3320
250600,2018-02-01,20,3567,3130,2891
250600,2018-02-01,21,3315,2889,2706
250600,2018-02-01,22,3198,2778,2566
250600,2018-02-01,23,3057,2643,2472
250600,2018-02-02,0,2967,2557,2386
250600,2018-02-02,1,2907,2499,2366
250600,2018-02-02,2,2946,2537,2526
250600,2018-02-02,3,3075,2660,2678
250600,2018-02-02,4,3375,2947,2951
250600,2018-02-02,5,3744,3300,3201
250600,2018-02-02,6,3996,3541,3392
250600,2018-02-02,7,4032,3575,3471
250600,2018-02-02,8,4113,3653,3568
250600,2018-02-02,9,4203,3739,3672
250600,2018-02-02,10,4263,3796,3738
250600,2018-02-02,11,4374,3902,3790
250600,2018-02-02,12,4410,3937,3800
250600,2018-02-02,13,4431,3957,3821
250600,2018-02-02,14,4428,3954,3841
250600,2018-02-02,15,4440,3965,3849
250600,2018-02-02,16,4443,3968,3862
250600,2018-02-02,17,4434,3960,3849
250600,2018-02-02,18,4416,3942,3834
250600,2018-02-02,19,4308,3839,3738
250600,2018-02-02,20,4299,3831,3618
250600,2018-02-02,21,4185,3722,3486
250600,2018-02-02,22,3981,3526,3410
250600,2018-02-02,23,3852,3403,3322
250600,2018-02-03,0,3780,3334,3272
250600,2018-02-03,1,3825,3377,3212
250600,2018-02-03,2,3771,3326,3218
250600,2018-02-03,3,3816,3369,3296
250600,2018-02-03,4,3948,3495,3370
250600,2018-02-03,5,3993,3538,3470
250600,2018-02-03,6,4122,3661,3470
250600,2018-02-03,7,4104,3644,3507
250600,2018-02-03,8,4134,3673,3527
250600,2018-02-03,9,4176,3713,3609
250600,2018-02-03,10,4221,3756,3682
250600,2018-02-03,11,4233,3767,3752
250600,2018-02-03,12,4248,3782,3758
250600,2018-02-03,13,4275,3808,3797
250600,2018-02-03,14,4335,3865,3842
250600,2018-02-03,15,4335,3865,3846
250600,2018-02-03,16,4350,3879,3856
250600,2018-02-03,17,4341,3871,3832
250600,2018-02-03,18,4335,3865,3769
250600,2018-02-03,19,4281,3813,3678
250600,2018-02-03,20,4227,3762,3572
250600,2018-02-03,21,4122,3661,3459
250600,2018-02-03,22,3918,3466,3354
250600,2018-02-03,23,3789,3343,3299
250600,2018-02-04,0,3780,3334,3282
250600,2018-02-04,1,3711,3268,3262
250600,2018-02-04,2,3744,3300,3282
250600,2018-02-04,3,3840,3392,3398
250600,2018-02-04,4,3912,3460,3508
250600,2018-02-04,5,4032,3575,3588
250600,2018-02-04,6,4092,3633,3656
250600,2018-02-04,7,4146,3684,3726
250600,2018-02-04,8,4281,3813,3808
250600,2018-02-04,9,4353,3882,3870
250600,2018-02-04,10,4380,3908,3898
250600,2018-02-04,11,4374,3902,3921
250600,2018-02-04,12,4398,3925,3929
250600,2018-02-04,13,4389,3917,3938
250600,2018-02-04,14,4368,3897,3950
250600,2018-02-04,15,4383,3911,3942
250600,2018-02-04,16,4383,3911,3952
250600,2018-02-04,17,4386,3914,3917
250600,2018-02-04,18,4362,3891,3764
250600,2018-02-04,19,3921,3469,3330
250600,2018-02-04,20,3537,3102,3039
250600,2018-02-04,21,3294,2869,2832
250600,2018-02-04,22,3240,2818,2694
250600,2018-02-04,23,3153,2735,2648
250600,2018-02-05,0,3075,2660,2581
250600,2018-02-05,1,3093,2677,2591
250600,2018-02-05,2,3162,2743,2716
250600,2018-02-05,3,3345,2918,2774
250600,2018-02-05,4,3645,3205,3086
250600,2018-02-05,5,4002,3547,3440
250600,2018-02-05,6,4125,3664,3589
250600,2018-02-05,7,4221,3756,3698
250600,2018-02-05,8,4302,3833,3791
250600,2018-02-05,9,4320,3851,3836
250600,2018-02-05,10,4380,3908,3886
250600,2018-02-05,11,4560,4080,3878
250600,2018-02-05,12,4560,4080,3927
250600,2018-02-05,13,4557,4077,3942
250600,2018-02-05,14,4584,4103,3960
250600,2018-02-05,15,4605,4123,3957
250600,2018-02-05,16,4599,4118,3930
250600,2018-02-05,17,4608,4126,3892
250600,2018-02-05,18,4608,4126,3684
250600,2018-02-05,19,4569,4089,3286
250600,2018-02-05,20,4500,4023,2994
250600,2018-02-05,21,4464,3988,2810
250600,2018-02-05,22,4395,3922,2676
250600,2018-02-05,23,4305,3836,2554
250600,2018-02-06,0,4257,3790,2502
250600,2018-02-06,1,4215,3750,2498
250600,2018-02-06,2,4098,3638,2572
250600,2018-02-06,3,4113,3653,2734
250600,2018-02-06,4,4323,3854,3045
250600,2018-02-06,5,4428,3954,3417
250600,2018-02-06,6,4506,4029,3636
250600,2018-02-06,7,4545,4066,3727
250600,2018-02-06,8,4608,4126,3829
250600,2018-02-06,9,4662,4178,3904
250600,2018-02-06,10,4686,4201,3948
250600,2018-02-06,11,4743,4255,4000
250600,2018-02-06,12,4755,4267,4007
250600,2018-02-06,13,4767,4278,4020
250600,2018-02-06,14,4764,4275,4036
250600,2018-02-06,15,4755,4267,4040
250600,2018-02-06,16,4743,4255,4024
250600,2018-02-06,17,4719,4232,4009
250600,2018-02-06,18,4677,4192,3806
250600,2018-02-06,19,4206,3742,3310
250600,2018-02-06,20,3651,3211,2958
250600,2018-02-06,21,3414,2984,2779
250600,2018-02-06,22,3267,2844,2664
250600,2018-02-06,23,3141,2723,2550
250600,2018-02-07,0,3060,2646,2506
