"sa2_code","date","hour","count","seasonal","trend","normalised_count","cluster_id"
257900,2018-01-31,11,2172,-1257.3063216247936,3429.306321624794,2172,1.0
257900,2018-01-31,12,2265,-1114.1525230658533,3379.1525230658535,2265,1.0
257900,2018-01-31,13,2271,-980.4442171305044,3251.4442171305045,2271,1.0
257900,2018-01-31,14,2277,-901.5437004615565,3178.5437004615565,2277,1.0
257900,2018-01-31,15,2283,-908.7745021565383,3191.7745021565383,2283,1.0
257900,2018-01-31,16,2256,-995.548027791396,3251.548027791396,2256,1.0
257900,2018-01-31,17,2175,-1116.6605435180174,3291.660543518017,2175,1.0
257900,2018-01-31,18,2091,-1209.8214023118278,3300.821402311828,2091,1.0
257900,2018-01-31,19,2124,-1229.034705003245,3353.034705003245,2124,1.0
257900,2018-01-31,20,2205,-1170.7380065668194,3375.7380065668194,2205,1.0
257900,2018-01-31,21,2235,-1068.584203924755,3303.584203924755,2235,1.0
257900,2018-01-31,22,2232,-972.0526712796136,3204.0526712796136,2232,1.0
257900,2018-01-31,23,2268,-923.2544323544332,3191.2544323544334,2268,1.0
257900,2018-02-01,0,2250,-939.1607782253864,3189.1607782253864,2250,1.0
257900,2018-02-01,1,2250,-1000.1295892206284,3250.129589220628,2250,1.0
257900,2018-02-01,2,2292,-1064.0701322118289,3356.070132211829,2292,1.0
257900,2018-02-01,3,2322,-1089.8693322346398,3411.86933223464,2322,1.0
257900,2018-02-01,4,2286,-1057.3382753109142,3343.3382753109145,2286,1.0
257900,2018-02-01,5,2277,-975.800967250876,3252.800967250876,2277,1.0
257900,2018-02-01,6,2346,-880.853047712682,3226.853047712682,2346,1.0
257900,2018-02-01,7,2397,-816.367654352036,3213.367654352036,2397,1.0
257900,2018-02-01,8,2436,-810.3448432144119,3246.344843214412,2436,1.0
257900,2018-02-01,9,2430,-863.0590318512457,3293.059031851246,2430,1.0
257900,2018-02-01,10,2421,-948.5223824237148,3369.5223824237146,2421,1.0
257900,2018-02-01,11,2211,-1029.979140628864,3240.979140628864,2211,1.0
257900,2018-02-01,12,2214,-1074.1037405334912,3288.103740533491,2214,1.0
257900,2018-02-01,13,2214,-1073.1216148373585,3287.1216148373587,2214,1.0
257900,2018-02-01,14,2298,-1040.1900101260628,3338.1900101260626,2298,1.0
257900,2018-02-01,15,2301,-1000.9541496182436,3301.9541496182437,2301,1.0
257900,2018-02-01,16,2316,-976.464067727715,3292.464067727715,2316,1.0
257900,2018-02-01,17,2265,-976.0339762713692,3241.0339762713693,2265,1.0
257900,2018-02-01,18,2217,-994.9811976756914,3211.9811976756914,2217,1.0
257900,2018-02-01,19,2232,-1021.788621919006,3253.788621919006,2232,1.0
257900,2018-02-01,20,2232,-1045.9958105737055,3277.995810573706,2232,1.0
257900,2018-02-01,21,2301,-1060.1243099522935,3361.1243099522935,2301,1.0
257900,2018-02-01,22,2277,-1059.341948832419,3336.341948832419,2277,1.0
257900,2018-02-01,23,2334,-1035.0634206614448,3369.063420661445,2334,1.0
257900,2018-02-02,0,2331,-976.3859365097724,3307.3859365097724,2331,1.0
257900,2018-02-02,1,2376,-871.3808298268762,3247.380829826876,2376,1.0
257900,2018-02-02,2,2475,-715.4030871795577,3190.4030871795576,2475,1.0
257900,2018-02-02,3,2685,-516.4649897521617,3201.4649897521617,2685,1.0
257900,2018-02-02,4,2901,-295.4169206814915,3196.4169206814913,2901,1.0
257900,2018-02-02,5,3267,-76.4821788402676,3343.482178840268,3267,1.0
257900,2018-02-02,6,3534,121.71984561342504,3412.280154386575,3534,1.0
257900,2018-02-02,7,3780,296.3226746883995,3483.6773253116007,3780,1.0
257900,2018-02-02,8,3798,455.8269821793027,3342.173017820697,3798,1.0
257900,2018-02-02,9,3819,610.0060826821183,3208.993917317882,3819,1.0
257900,2018-02-02,10,3819,752.7037761956585,3066.2962238043415,3819,1.0
257900,2018-02-02,11,4095,857.6644808848774,3237.3355191151227,4095,1.0
257900,2018-02-02,12,4110,887.7514112633193,3222.2485887366806,4110,1.0
257900,2018-02-02,13,4113,828.9082464302236,3284.0917535697763,4113,1.0
257900,2018-02-02,14,4116,716.4334453710152,3399.5665546289847,4116,1.0
257900,2018-02-02,15,4131,647.8215029591609,3483.178497040839,4131,1.0
257900,2018-02-02,16,4230,765.6515894150781,3464.348410584922,4230,1.0
257900,2018-02-02,17,4440,1209.122795915129,3230.8772040848708,4440,1.0
257900,2018-02-02,18,5052,2050.919115935693,3001.080884064307,5052,1.0
257900,2018-02-02,19,6309,3243.2053547793407,3065.7946452206593,6309,1.0
257900,2018-02-02,20,7914,4602.844759544689,3311.1552404553113,7914,1.0
257900,2018-02-02,21,9117,5853.197973749745,3263.802026250255,9117,1.0
257900,2018-02-02,22,10143,6710.677536235716,3432.3224637642843,10143,1.0
257900,2018-02-02,23,10395,6972.963797535109,3422.036202464891,10395,1.0
257900,2018-02-03,0,10020,6590.971661450325,3429.028338549675,10020,1.0
257900,2018-02-03,1,8829,5682.64754663422,3146.35245336578,8829,1.0
257900,2018-02-03,2,7713,4492.4224342552425,3220.5775657447575,7713,1.0
257900,2018-02-03,3,6378,3301.2082886272246,3076.7917113727754,6378,1.0
257900,2018-02-03,4,5397,2340.653836600428,3056.346163399572,5397,1.0
257900,2018-02-03,5,4995,1727.0675450550684,3267.9324549449316,4995,1.0
257900,2018-02-03,6,4821,1446.6250164924545,3374.374983507546,4821,1.0
257900,2018-02-03,7,4764,1392.1362098882664,3371.8637901117336,4764,1.0
257900,2018-02-03,8,4704,1424.3718850075086,3279.6281149924916,4704,1.0
257900,2018-02-03,9,4629,1431.6715788275365,3197.3284211724635,4629,1.0
257900,2018-02-03,10,4620,1364.0137325817957,3255.986267418204,4620,1.0
257900,2018-02-03,11,4215,1233.071971759778,2981.9280282402224,4215,1.0
